% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0,0,0,0
1.0E-7,0,0,0
2.0E-7,0,0,0
4.0E-7,0,0,0
8.0E-7,0,0,0
1.6E-6,0,0,0
3.2E-6,0,0,0
6.4E-6,0,0,0
1.28E-5,0,0,0
2.56E-5,0,0,0
5.12E-5,0,0,0
1.024E-4,0,0,0
2.048E-4,0,0,0
4.096E-4,0,0,0
8.192E-4,0,0,0
0.0016384,0,0,0
0.0032768,0,0,0
0.0065536,0,0,0
0.0131072,0,0,0
0.0262144,0,0,0
0.0524288,0,0,0
0.1048576,0,0,0
0.2097152,2.8231994257621506E-33,4.558095759938908E-8,4.409605315323886E-9
0.4194304,1.7884012584578626E-23,3.6726883582828905E-7,6.973232062221767E-8
0.60817408,-2.453165324682441E-23,6.567879262342982E-7,1.6823053946536796E-7
0.9856614399999999,9.158680660570582E-18,1.2358261070463188E-6,4.875147494462964E-7
1.3631487999999998,1.369681685767904E-16,1.8148642878583384E-6,9.006237982217126E-7
1.7406361599999998,1.0621343412838496E-15,2.3939024686703602E-6,1.3857954946106312E-6
2.4956108799999996,2.1024425597724394E-13,3.551978830294399E-6,2.535848406900196E-6
3.2505855999999995,1.5112598383257648E-12,4.8728214727080155E-6,3.874552779690292E-6
3.3878482316967067,1.7900554129086657E-12,5.589746051625653E-6,4.182531557961215E-6
3.4921909163992146,2.0285249168398503E-12,6.2045004702652E-6,4.457321693456527E-6
3.578941766655913,2.2463895498917353E-12,6.766772717110774E-6,4.715962356446543E-6
3.6570175318869413,2.462435662854335E-12,7.316254943751409E-6,4.976358001465939E-6
3.727285720594867,2.6728769422596914E-12,7.84883688467854E-6,5.233623278277707E-6
3.790527090432,2.8760318499713626E-12,8.361228481592566E-6,5.484731178547713E-6
3.84744432328542,3.070613515978365E-12,8.850919019976297E-6,5.727372485178037E-6
3.898669832853498,3.2556938392017816E-12,9.316113853377488E-6,5.959848088024251E-6
3.9447727914647683,3.4314987564469784E-12,9.755657428762187E-6,6.181619830853703E-6
3.9862654542149114,3.5970543246250472E-12,1.0168949718630045E-5,6.391375193179321E-6
4.0236088506900405,3.752185517614299E-12,1.0555861544981901E-5,6.588648795198816E-6
4.057217907517656,3.896911566936863E-12,1.0916652787646841E-5,6.773274928180706E-6
4.0874660586625104,4.031406157116398E-12,1.1251896181065795E-5,6.945324342038407E-6
4.1146893946928795,4.156266093605475E-12,1.1562408348490029E-5,7.105346567575785E-6
4.1391903971202115,4.271630487582421E-12,1.1849188898504589E-5,7.2534787957770896E-6
4.1636913995475435,4.390250461705694E-12,1.2143082191130179E-5,7.406048939841478E-6
4.185742301732143,4.499375576736307E-12,1.2413813253320865E-5,7.54662289202471E-6
4.207793203916742,4.61142557755098E-12,1.269058008462982E-5,7.69115158406651E-6
4.227639015882881,4.7141139585401316E-12,1.2944941962863255E-5,7.82377925684567E-6
4.24748482784902,4.819420151548326E-12,1.3204401929465673E-5,7.959920037401825E-6
4.265346058618545,4.915607100700242E-12,1.344235916801568E-5,8.08441670209564E-6
4.28320728938807,5.014126170932523E-12,1.3684604491105607E-5,8.212021910152412E-6
4.301068520157595,5.114430566661637E-12,1.3931215166071025E-5,8.342060147242908E-6
4.31892975092712,5.215791818126627E-12,1.4182269852327913E-5,8.473562293478902E-6
4.3367909816966455,5.318791614241702E-12,1.4437848626445468E-5,8.607321520165707E-6
4.354652212466171,5.423645593381363E-12,1.469803300767015E-5,8.743632748581403E-6
4.390374674005221,5.639343691625224E-12,1.5232552038181939E-5,9.0244846400799E-6
4.426097135544271,5.8632194095402005E-12,1.5786508950515173E-5,9.316558228066376E-6
4.497542058622371,6.337162320009896E-12,1.695558932425153E-5,9.936506694416523E-6
4.568986981700471,6.84771561014121E-12,1.8211242536475786E-5,1.0606410188402895E-5
4.640431904778571,7.397418439599576E-12,1.955987884387073E-5,1.1329642785204408E-5
4.7118768278566705,7.98902000300903E-12,2.1008383049736454E-5,1.2109912536068045E-5
4.78332175093477,8.624908881486769E-12,2.2564149619171554E-5,1.2950532775797358E-5
4.886848481161651,9.631849265405767E-12,2.5025180753746597E-5,1.4285449860066802E-5
4.990375211388531,1.0749287859294398E-11,2.775461235454065E-5,1.577185285788513E-5
5.093901941615411,1.1988344326905309E-11,3.078171167464034E-5,1.74259042991862E-5
5.1974286718422915,1.3361053581757996E-11,3.413893631698836E-5,1.926553797152276E-5
5.300955402069172,1.4880407311708765E-11,3.7862281765815735E-5,2.1310637891186085E-5
5.404482132296052,1.65603590307597E-11,4.1991666720036186E-5,2.3583159243041067E-5
5.611535592749813,2.0463526974674883E-11,5.165045586201391E-5,2.891170450819361E-5
5.7978837071581975,2.4688322506944212E-11,6.222887179244623E-5,3.4760475837608064E-5
5.984231821566582,2.970163296896928E-11,7.497339874691358E-5,4.181736784189002E-5
6.170579935974967,3.562620117646217E-11,9.032739025986192E-5,5.032814338457666E-5
6.356928050383352,4.259716472400617E-11,1.0882485633740532E-4,6.0589180423744696E-5
6.543276164791736,5.0761467740238264E-11,1.3110896110906726E-4,7.295765779618795E-5
6.729624279200121,6.027675539715562E-11,1.5795427683138298E-4,8.786398609870117E-5
6.915972393608506,7.13099545532789E-11,1.9029354894280147E-4,1.0582488037703991E-4
7.1023205080168905,8.403451901966333E-11,2.2924987481866234E-4,1.27465142720789E-4
7.288668622425275,9.862793249914765E-11,2.7617537414507086E-4,1.5353748890814704E-4
7.47501673683366,1.1526847801099917E-10,3.326976356808878E-4,1.849487983090359E-4
7.661364851242045,1.3413280693687098E-10,4.0077546814482615E-4,2.2278974767896747E-4
7.847712965650429,1.55394178647452E-10,4.8276576665880156E-4,2.6837314919201456E-4
8.034061080058814,1.7922337170277303E-10,5.815036349187409E-4,3.232789291680698E-4
8.220409194467198,2.057933680344804E-10,7.003982804832475E-4,3.894088020824258E-4
8.406757308875582,2.352904234475775E-10,8.435476278684551E-4,4.6905067064931987E-4
8.593105423283966,2.679334857988408E-10,0.0010158750698172649,5.649561888572738E-4
8.77945353769235,3.040042779046831E-10,0.001223292293971149,6.804332398911941E-4
8.965801652100733,3.438891687818474E-10,0.0014728926642257744,8.194568115640744E-4
9.152149766509117,3.881327960282692E-10,0.001773180173733514,9.868009270069572E-4
9.338497880917501,4.375017597752719E-10,0.0021343394697808044,0.0011881956021620483
9.524845995325885,4.930553229249839E-10,0.0025685527992950494,0.001430512732098034
9.711194109734269,5.56219993028708E-10,0.0030903698132516183,0.0017219857667210043
9.897542224142653,6.28865727944193E-10,0.003717135811795788,0.002072468046267456
10.083890338551036,7.133843444887988E-10,0.0044694829347281684,0.002493735080425882
10.27023845295942,8.127731599352419E-10,0.0053718866090021215,0.002999835734377761
10.456586567367804,9.30729440203884E-10,0.006453285699886459,0.0036074968162954847
10.642934681776188,1.0717612767638343E-9,0.0077477585106380635,0.004336584066907106
10.829282796184572,1.241320331667637E-9,0.00929523701331419,0.005210620045231866
11.015630910592956,1.4459610830834604E-9,0.01114222714658163,0.006257355018737546
11.20197902500134,1.6935332328784437E-9,0.013342482048837279,0.007509380216553637
11.388327139409723,1.993417193262193E-9,0.015957545817246694,0.009004762587838434
11.574675253818107,2.3568168512072494E-9,0.019057045849738677,0.01078766551435587
11.76102336822649,2.7971248397257487E-9,0.022718560476217405,0.012908899364543112
11.947371482634875,3.3303738573357077E-9,0.027026825075971043,0.01542631812618879
12.133719597043259,3.975784670568279E-9,0.03207196651093675,0.0184049426036795
12.320067711451642,4.756423404211243E-9,0.03794637961975237,0.02191664681796674
12.506415825860026,5.6999892692527045E-9,0.04473979575292118,0.026039194125742588
12.69276394026841,6.8398428570602114E-9,0.05253206848188577,0.030854271026972337
12.879112054676794,8.216108288853522E-9,0.061383257137251804,0.03644435741572478
13.065460169085178,9.876973928639269E-9,0.07132078174671798,0.04288834644769027
13.251808283493562,1.1880448786173165E-8,0.08232382004412467,0.050254974587242
13.438156397901945,1.429639559867676E-8,0.0943057772436061,0.05859432042687514
13.62450451231033,1.7208950668563207E-8,0.10709659772009988,0.06792742234392171
13.810852626718713,2.0718978007708266E-8,0.12042782388125908,0.07823593905811241
13.997200741127097,2.494836104299507E-8,0.13392440587277332,0.08944684292147058
14.18354885553548,3.004376596119363E-8,0.14710790527832177,0.10142265776386317
14.369896969943865,3.618194461325744E-8,0.15941536063417408,0.11395366354057826
14.556245084352248,4.357527514538282E-8,0.17023618483762423,0.12675743994735922
14.742593198760632,5.2479233936499976E-8,0.17896589913897154,0.13948467265681053
14.928941313169016,6.320076886367976E-8,0.1850708210011988,0.1517350982734675
15.1152894275774,7.610885360819536E-8,0.18815336074435066,0.16308218341689262
15.301637541985784,9.164655616079105E-8,0.18800515382332836,0.17310560581974477
15.487985656394168,1.1034575664049879E-7,0.18463633508727764,0.18142631651048502
15.674333770802551,1.3284420267885444E-7,0.17827409286922505,0.18773938185042302
15.860681885210935,1.5990597133426088E-7,0.16933084829198478,0.19183892651309747
16.04702999961932,1.9244531614339835E-7,0.15834949045840913,0.19363190478574624
16.233378114027705,2.315548609636649E-7,0.14593762212849667,0.19313909253894626
16.386759377731675,2.695873305689961E-7,0.13507900759211333,0.19110429464087852
16.540140641435645,3.138053271647598E-7,0.12397897162103895,0.18771503473479825
16.693521905139615,3.651872136172702E-7,0.11291404954103801,0.18311463156539515
16.846903168843586,4.2485972326892455E-7,0.10211442303577932,0.17746618907856748
17.000284432547556,4.941244217459363E-7,0.09176089301610114,0.17094127811790522
17.153665696251526,5.74465195737852E-7,0.0819860420182145,0.16371646580287388
17.307046959955496,6.67572883745517E-7,0.07287837471986232,0.15596510125123614
17.460428223659466,7.753818008463902E-7,0.06448825600402558,0.14784769498023434
17.613809487363437,9.000867639889052E-7,0.056834642377176246,0.13951074467238173
17.75185262469701,1.0288063457372344E-6,0.05057180583530834,0.13192867951458984
17.88989576203058,1.1752314250532751E-6,0.04488410175445631,0.12435912557251919
18.027938899364152,1.3415875454969496E-6,0.03974571099449832,0.11687467385305479
18.165982036697724,1.5303261771567479E-6,0.03512485331025424,0.10953614794320046
18.304025174031295,1.7441251843013487E-6,0.03098609096297533,0.10239355272145162
18.442068311364867,1.985896525517601E-6,0.027292166585788577,0.09548688362938534
18.58011144869844,2.258803853264206E-6,0.024005422097929885,0.08884606260397283
18.71815458603201,2.5662053646697672E-6,0.021088855589682813,0.08249356750703575
18.856197723365582,2.9116025358328407E-6,0.018506875539713745,0.0764462524675517
18.994240860699154,3.298660885986913E-6,0.016225809197219384,0.07071408290812187
19.132283998032726,3.731150729068122E-6,0.014214216559152238,0.06530167436943775
19.270327135366298,4.212888405881812E-6,0.012443054609438415,0.06020889395204822
19.40837027269987,4.747679831120888E-6,0.010885729382158343,0.05543264981749594
19.54641341003344,5.339174579265689E-6,0.00951806660019747,0.05096579204646954
19.684456547367013,5.990842189732558E-6,0.008318225480201785,0.04679912759203658
19.822499684700585,6.705685007453876E-6,0.007266574945202371,0.04292123861715901
19.960542822034157,7.486283240245544E-6,0.006345546983533704,0.039320140814424205
20.09858595936773,8.334382528465625E-6,0.005539478196492661,0.03598264816289161
20.2366290967013,9.250927994947328E-6,0.004834447606844729,0.03289534404196129
20.374672234034872,1.023567730333259E-5,0.00421811645784577,0.03004453117074649
20.512715371368444,1.1287510678650264E-5,0.003679573917389852,0.02741642579728979
20.650758508702015,1.2403886191638584E-5,0.0032091912195707376,0.02499727905074563
20.788801646035587,1.3580903250509568E-5,0.0027984857419002516,0.022773572244311417
20.92684478336916,1.4813098772711036E-5,0.0024399957580416697,0.020732142267012175
21.06488792070273,1.6093798022192903E-5,0.0021271660624444725,0.01886019204328154
21.202931058036302,1.7414268324249263E-5,0.0018542442849774274,0.01714559660116343
21.340974195369874,1.876443719698248E-5,0.001616187460546183,0.015576739339079293
21.479017332703446,2.0132465418654496E-5,0.0014085782590474525,0.014142697980101834
21.617060470037018,2.1505586644292865E-5,0.001227550190061748,0.01283306628135736
21.75510360737059,2.2869763381390328E-5,0.0010697210552640347,0.011638123637387119
21.89314674470416,2.4210459537960907E-5,9.321339150069446E-4,0.010548674329202081
22.031189882037733,2.5512398806458356E-5,8.122048528608452E-4,0.009556246647950089
22.169233019371305,2.676054142624495E-5,7.076768548437657E-4,0.008652900329897647
22.307276156704877,2.7939969903900576E-5,6.165791625829313E-4,0.007831145258086156
22.44531929403845,2.9036377343163522E-5,5.371915073293365E-4,0.007084071610345441
22.58336243137202,3.0036263099014192E-5,4.6801268147713705E-4,0.006405284810798821
22.721405568705592,3.092736084945551E-5,4.0773295385602656E-4,0.0057888977386243295
22.859448706039164,3.169851799506741E-5,3.5520988311370065E-4,0.005229392263075381
22.997491843372735,3.2340869317945664E-5,3.0944712905825174E-4,0.0047218539083281495
23.135534980706307,3.284778998221325E-5,2.69575904338919E-4,0.004261771230325932
23.27357811803988,3.321411809016456E-5,2.3483874803305465E-4,0.003844891554060098
23.549664392707026,3.351836740168735E-5,1.782100952447247E-4,0.0031259336488496485
23.798142039907457,3.330557626139574E-5,1.390160718034745E-4,0.0025910437364595742
24.04661968710789,3.265186709894164E-5,1.0843956924060537E-4,0.0021444347552382744
24.29509733430832,3.159922888723753E-5,8.458684027651005E-5,0.0017720118387034715
24.54357498150875,3.0206005548139166E-5,6.597991828875256E-5,0.001462142779053584
24.792052628709182,2.853863907382835E-5,5.146547995701207E-5,0.0012048753126022971
25.040530275909614,2.6665756343056727E-5,4.014362635488134E-5,9.91605525105566E-4
25.289007923110045,2.465462934572312E-5,3.131225218592681E-5,8.150047455945523E-4
25.537485570310476,2.2567722921560338E-5,2.442360524102768E-5,6.690945304971628E-4
25.761115452790865,2.067216875988481E-5,1.952963768824216E-5,5.596740980638304E-4
25.984745335271253,1.8798713139381595E-5,1.5616275820068412E-5,4.67615880869571E-4
26.20837521775164,1.697802993507692E-5,1.2487050044860968E-5,3.902485017425237E-4
26.43200510023203,1.5234384997599622E-5,9.984849220461402E-6,3.253310567696756E-4
26.655634982712417,1.3586122746701212E-5,7.984037942384527E-6,2.709404776064875E-4
26.879264865192805,1.2046181914065357E-5,6.384151894555821E-6,2.254235167024944E-4
27.102894747673194,1.0622637439985207E-5,5.104855593695976E-6,1.8737183877174336E-4
27.326524630153582,9.319309619702554E-6,4.442161739467298E-6,1.5547035750514956E-4
27.55015451263397,8.13596471343125E-6,4.1058121907633885E-6,1.2901678161190785E-4
27.859973158484458,6.687734579753433E-6,3.639830808686666E-6,9.9313858004507E-5
28.169791804334945,5.449625903543486E-6,3.1738494266099365E-6,7.635242987061627E-5
